Feature,Welch Test Statistic,Welch p-Value,Levene Center Strategy,Levene Test Statistic,Levene p-Value
pcm_fftMag_fband250-650_sma_peakMeanMeanDist,-0.4328990820319541,0.665111488412617,median,14.16782918262095,0.00016959842246621931
pcm_fftMag_fband250-650_sma_peakMeanRel,-2.274292703273129,0.023001010045207614,median,13.391987475147197,0.00025595382534856207
pcm_fftMag_fband250-650_sma_minRangeRel,3.3497106071476543,0.0008165313623713387,median,5.40553243068434,0.02012270573026944
pcm_fftMag_fband250-650_sma_meanRisingSlope,0.22554889485359864,0.821563949032184,median,21.418885862891248,3.807873203033346e-06
pcm_fftMag_fband250-650_sma_stddevRisingSlope,0.6455303074142705,0.5186206568478473,median,6.173936326126659,0.013005085838849314
pcm_fftMag_fband250-650_sma_meanFallingSlope,-0.22916543804324052,0.8187520240793619,median,14.765335044857197,0.0001236378724502095
pcm_fftMag_fband250-650_sma_stddevFallingSlope,2.3338708718686574,0.019651670230735475,median,2.8763909730792707,0.08996491827341087
pcm_fftMag_fband250-650_sma_linregc1,3.994519906525224,6.599628683826242e-05,median,5.831460803684329,0.015786527390894787
pcm_fftMag_fband250-650_sma_linregc2,-3.4086612499654594,0.0006593495037255943,median,1.7668802108208004,0.18384428668298947
pcm_fftMag_fband250-650_sma_linregerrQ,-2.7200508202273146,0.006555470946627509,median,0.0028423575249912876,0.957484569365019
pcm_fftMag_fband250-650_sma_qregc1,-1.5240908014108174,0.12756496138812617,median,9.547137819654065,0.0020163422899419576
pcm_fftMag_fband250-650_sma_qregc2,2.0670741707988665,0.038791237807138765,median,24.64150872653745,7.191854419723064e-07
pcm_fftMag_fband250-650_sma_qregc3,-2.208309005425739,0.027279187717668508,median,13.337335665138887,0.00026349655843675295
pcm_fftMag_fband250-650_sma_qregerrQ,-0.7266941582891978,0.46745592651543844,median,0.4836113618501824,0.4868313624880277
pcm_fftMag_fband250-650_sma_centroid,5.260632721278483,1.5112597105618025e-07,median,0.003228733680161013,0.9546898625556841
pcm_fftMag_fband1000-4000_sma_amean,1.6677949037633688,0.09543536156630027,median,0.755876666909526,0.3846740453923677
pcm_fftMag_fband1000-4000_sma_flatness,1.4765477652730934,0.13987612890655607,median,0.06710724201071373,0.7956094567566133
pcm_fftMag_fband1000-4000_sma_rqmean,1.6208894896030348,0.10512137996342306,median,0.7971082062219214,0.37201296445181975
pcm_fftMag_fband1000-4000_sma_meanPeakDist,6.754514710807676,1.641847211285145e-11,median,5.287982011129077,0.02152424350098335
pcm_fftMag_fband1000-4000_sma_peakDistStddev,6.5407029305829765,6.906649403842678e-11,median,8.906749483386164,0.0028583348928279267
pcm_fftMag_fband1000-4000_sma_peakRangeAbs,3.0087201746776273,0.0026398276646417062,median,6.22368924371676,0.012645160914670415
pcm_fftMag_fband1000-4000_sma_peakRangeRel,7.423385528887208,1.3871945611010763e-13,median,31.141806984403654,2.556980304969188e-08
pcm_fftMag_fband1000-4000_sma_peakMeanAbs,1.4041715750115107,0.160348350451893,median,0.734756035374963,0.3913971393399852
pcm_fftMag_fband1000-4000_sma_peakMeanMeanDist,1.2772774771649298,0.20158215007188926,median,0.9267114779587728,0.3357769654866505
pcm_fftMag_fband1000-4000_sma_peakMeanRel,0.9135737492188314,0.3609959930715745,median,0.724320857317035,0.3947810665713064
pcm_fftMag_fband1000-4000_sma_minRangeRel,3.0515666288863215,0.0022916491668301788,median,7.662354480451002,0.005664385663414696
pcm_fftMag_fband1000-4000_sma_meanRisingSlope,1.0203995290241408,0.30760075963267525,median,0.3016218344318126,0.582898045903162
pcm_fftMag_fband1000-4000_sma_stddevRisingSlope,1.9958885812310214,0.046017155152251785,median,2.646662424250021,0.10384614447770106
pcm_fftMag_fband1000-4000_sma_meanFallingSlope,2.2443927856894743,0.02486208560555856,median,0.9801828503879502,0.3222134166988495
pcm_fftMag_fband1000-4000_sma_stddevFallingSlope,1.0417970384718669,0.2975687645210281,median,0.34513572160572953,0.5569127667462226
pcm_fftMag_fband1000-4000_sma_linregc1,3.7579042730743573,0.00017378031420966228,median,19.618908044666508,9.705022698885395e-06
pcm_fftMag_fband1000-4000_sma_linregc2,-4.155451064519056,3.314509212412714e-05,median,1.7278727527178623,0.18875799051110292
pcm_fftMag_fband1000-4000_sma_linregerrQ,-3.5394047976260143,0.00040560851439534653,median,0.3909350276897745,0.5318439078082293
pcm_fftMag_fband1000-4000_sma_qregc1,-2.7001274148496153,0.006960460847077341,median,17.17512761472227,3.4790876050003235e-05
pcm_fftMag_fband1000-4000_sma_qregc2,3.497653789627301,0.00047448616843122533,median,37.06809804588252,1.2478172346053043e-09
pcm_fftMag_fband1000-4000_sma_qregc3,-3.903707503123907,9.628752280247698e-05,median,17.51873255160851,2.9059246002676807e-05
pcm_fftMag_fband1000-4000_sma_qregerrQ,-0.9807713915823905,0.3267649165980949,median,0.9018331400985069,0.3423478971070969
pcm_fftMag_fband1000-4000_sma_centroid,4.537681991258077,5.854445324201121e-06,median,2.8865495807357133,0.08939962154322871
pcm_fftMag_spectralRollOff25.0_sma_amean,0.3271166306809545,0.7435967549114189,median,8.602896085833022,0.003375304035364368
pcm_fftMag_spectralRollOff25.0_sma_flatness,-1.2490049834691919,0.21173618317679654,median,4.648910312481968,0.031132571058361043
pcm_fftMag_spectralRollOff25.0_sma_rqmean,1.0337909272719041,0.30129630955307685,median,1.95434627421407,0.16219660624599208
pcm_fftMag_spectralRollOff25.0_sma_meanPeakDist,6.8897025875041145,6.535006177147663e-12,median,42.47571709453935,8.044281462624008e-11
pcm_fftMag_spectralRollOff25.0_sma_peakDistStddev,7.152114292692777,1.031741681182538e-12,median,48.5548116403465,3.738389394731361e-12
pcm_fftMag_spectralRollOff25.0_sma_peakRangeAbs,7.611374607666487,3.409830743790312e-14,median,57.930016010368035,3.365566843727864e-14
pcm_fftMag_spectralRollOff25.0_sma_peakRangeRel,6.791607658810977,1.2755342286441275e-11,median,41.07063388185364,1.6381974704314292e-10
pcm_fftMag_spectralRollOff25.0_sma_peakMeanAbs,4.160035532967202,3.2494355321383804e-05,median,7.089413801608326,0.007785034656995611
pcm_fftMag_spectralRollOff25.0_sma_peakMeanMeanDist,4.602221324164301,4.311346266481045e-06,median,10.924214718131525,0.0009574996712554101
pcm_fftMag_spectralRollOff25.0_sma_peakMeanRel,5.652610331521074,1.6926028593042764e-08,median,12.736413269647528,0.0003628043059515749
pcm_fftMag_spectralRollOff25.0_sma_minRangeRel,0.7316738151497645,0.46441063762028956,median,0.5348990294616979,0.46459720170516094
pcm_fftMag_spectralRollOff25.0_sma_meanRisingSlope,1.201803590739473,0.22951078540696718,median,0.0628073135757094,0.8021254970354076
pcm_fftMag_spectralRollOff25.0_sma_stddevRisingSlope,2.5859205510727343,0.009747391125627109,median,3.2397516713010717,0.07194668423692482
pcm_fftMag_spectralRollOff25.0_sma_meanFallingSlope,2.545849953793942,0.010938792455164551,median,1.6684926176216093,0.19653501964502554
pcm_fftMag_spectralRollOff25.0_sma_stddevFallingSlope,5.196611655941254,2.1360914881304178e-07,median,24.120375785324786,9.410508615959564e-07
pcm_fftMag_spectralRollOff25.0_sma_linregc1,2.21226544169554,0.027004544898472205,median,19.99803770593903,7.966717700003096e-06
pcm_fftMag_spectralRollOff25.0_sma_linregc2,-5.160873807907829,2.577072303352246e-07,median,21.956653971473518,2.8813093118734454e-06
pcm_fftMag_spectralRollOff25.0_sma_linregerrQ,-4.742526935331841,2.1841245152013805e-06,median,1.2680881628747986,0.2601930502121594
pcm_fftMag_spectralRollOff25.0_sma_qregc1,0.02149771533273996,0.9828497070454687,median,6.107439620911923,0.01350265910149369
pcm_fftMag_spectralRollOff25.0_sma_qregc2,0.6769003871510745,0.498508310471073,median,23.408191060167507,1.359446396604873e-06
pcm_fftMag_spectralRollOff25.0_sma_qregc3,-4.592012288900971,4.524669571923221e-06,median,25.375363678317484,4.926869002633258e-07
pcm_fftMag_spectralRollOff25.0_sma_qregerrQ,-3.371784344132256,0.0007539078767360576,median,2.851052817534183,0.09139189267699024
pcm_fftMag_spectralRollOff25.0_sma_centroid,3.740937493814621,0.00018589931021187813,median,2.5475459936655156,0.11054453266938932
pcm_fftMag_spectralRollOff50.0_sma_amean,1.2500874092747567,0.2113406127795434,median,6.023393010271034,0.014159706255396854
