ID,Age,Gender,F_V_BCD,S_Z_BCD,SH_ZH_BCD,TH_DH_BCD,F_V_WCD,S_Z_WCD,SH_ZH_WCD,TH_DH_WCD,F_V_CO,S_Z_CO,SH_ZH_CO,TH_DH_CO,F_V_CD,S_Z_CD,SH_ZH_CD,TH_DH_CD,Condition
S017,65,female ,426.66103104320746,656.3531815463161,,-333.3529456788989,1044.8648532748477,1409.6835333819881,373.70295432297445,451.61380800602853,2256.9813696106767,4216.919034726447,0.0,3170.51993137526,0.3992978655606685,0.46471561412197876,,-0.5219418101027453,cc
S048,64,male ,431.78898426231297,932.9018281551876,,120.87158862129638,484.81998800911015,1144.6781903429053,310.5261812423048,267.3300891532724,819.6520926066518,3489.361022146123,0.0,1182.9557091325985,0.8587991039398456,0.812954962710714,,0.44962435237581755,cc
S009,67,male ,1465.609640129663,943.5638945143469,,637.3664796382102,977.6443752212397,1136.9376204780851,591.7402246887738,685.4702334637793,1578.369671957396,3789.203520319807,0.0,2052.4372841010636,1.4497717403987118,0.8253820366565733,,0.7510108668426069,cc
S068,50,male ,3629.295325761699,1875.4294158204407,,,1690.3086231749166,2448.001069644551,0.0,2782.163677492749,1933.393945681454,5153.45722981626,0.0,0.0,1.6871167450374995,0.7494211012731766,,,cc
S067,57,male ,723.4488334047801,1582.6906604996452,,884.1625976527071,254.11776164055598,811.7237652327543,197.21644447558117,868.0231934659453,14.17028385408139,757.7732508908393,0.0,2825.4245663964393,2.228645455054747,1.7733085391911898,,1.0113541275282847,cc
S032,57,female ,1351.104951566153,2368.0505859915174,,700.9089478704466,1104.3502938096408,1903.2193538516372,413.1173330296003,1175.4498612614343,1320.7708723688584,4665.691516084103,0.0,5038.6448872306855,1.1272912319814115,1.21960421731788,,0.5930054423442574,cc
S030,70,female ,1196.4824070409688,2152.289850999587,,-15.796662555545254,48.12151506102477,1046.834348693023,292.80705527039026,340.01447945956227,-1114.0428374589796,1438.5388988478867,0.0,2778.3985144891267,17.58134220246754,1.8518448920174073,,-0.03482220075042091,cc
S073,61,male ,3952.239491710444,479.10690632243995,,-627.9811375184445,17.475784384553023,747.657150903666,130.08966963554687,362.7764929399934,-3904.0555678552637,2383.7484253077637,0.0,2226.9791105976337,159.91587467352514,0.639872171412198,,-1.2240311305671725,cc
S034,65,female ,1836.3652670088168,1945.128187410699,,,4.982685203735699,1194.3771374503651,288.24758506257183,449.1581767205363,-1826.3998966013455,3140.937976146537,0.0,0.0,260.6037266941613,1.6021138485222057,,,cc
S055,70,male ,1157.6428544398666,1749.5895685479818,,1151.2990607837537,508.7406667407122,1082.6686874971047,915.6108431515709,173.5095316609171,83.26711628969679,3298.4019506496084,0.0,-41.34115402261796,1.77133096235417,1.6159811725415454,,4.691911535124436,cc
S004,71,female ,2394.909712119266,1865.5179668751443,,476.35523053564725,1233.8952466286319,1950.0282469815506,281.4147701090979,1512.9990899765257,3101.6063787652065,5959.837183770523,0.0,6064.142443347493,1.9199490549056772,0.9560146393362285,,0.31317966012756004,cc
S028,59,male ,1216.0852443967283,1617.8003376452198,,2324.2968400929294,173.62874785569562,1155.3379392108297,690.8040483166934,435.69987604706887,-822.1244891003171,3465.8170806511926,0.0,-420.76178526690364,6.980870434211519,1.3841304510629728,,4.724601255856351,cc
S013,57,male ,2090.8486432520344,1604.6077358565572,,-713.3815001516473,548.0548253311374,1185.8141702957935,1183.8858846600212,1676.115453312016,-710.698391837622,1927.3623931599977,0.0,8851.791087912201,3.1766337863976757,1.3268833036798533,,-0.35395720154555993,cc
S049,65,male ,280.19317576171784,127.09380715939369,,-1089.8361832868518,721.8625480020032,698.853175934612,302.51645837111073,483.07657826775045,930.5288788317489,1691.6103101888057,0.0,2651.588306672623,0.2996260729529283,0.1774039022210041,,-1.5952554734654671,cc
S006,67,female ,-184.12332019232736,-86.13480195031298,,-1112.4281741268578,842.5192447273347,1057.108827871606,838.8443725933577,714.1743273552444,2499.234215565731,3196.426948098415,0.0,3612.932440182656,-0.21638095691247158,-0.08096351905003998,,-1.3314232143638387,cc
