ID,Age,Gender,P_VOT,B_VOT,T_VOT,D_VOT,K_VOT,G_VOT,F_COG,V_COG,S_COG,Z_COG,SH_COG,ZH_COG,TH_COG,DH_COG,IY_ERB,IH_ERB,UW_ERB,UH_ERB,AA_ERB,AE_ERB,IY_DUR,IH_DUR,UW_DUR,UH_DUR,AA_DUR,AE_DUR,Condition
S030,70,female ,0.016363363527226227,0.03226737319083428,0.027671774088976205,0.019502365983837047,0.04416435396233779,0.01565661261137663,1650.2154558739178,453.733048832949,2984.2818874738514,831.9920364742642,3438.1095921030005,,618.0386205059062,633.8352830614515,3.93133758632978,2.7354310124346934,4.379916852521942,5.5354611656118795,3.7420140072086574,1.4655064462797884,0.16999999999999976,0.045000000000000484,0.10599999999999987,0.086666666666666,0.17600000000000088,0.15368421052631626,cc
S073,61,male ,0.029268787647598767,0.013902604494748635,0.03880329720249875,0.049722911273500064,0.03953629725192028,0.01582485330290595,4410.780399375805,458.54090766536126,2487.4913826911347,2008.3844763686945,2288.457455173838,,512.1856694381654,1140.16680695661,4.430343780207794,3.1613967808517245,1.5823544675927292,3.7023385122582315,1.5956437110400814,2.9536493359687683,0.0899999999999991,0.05583333333333207,0.14999999999999947,0.06666666666666582,0.2400000000000002,0.1400000000000008,cc
S034,65,female ,0.04224284960817008,0.02960373218694938,0.022171655243749727,0.02263663158546588,0.06839874129186196,,2327.525927699911,491.160660691094,3478.35420413724,1533.226016726541,2429.72709791775,,,809.1937358772113,3.9596594109508176,2.2381146396902367,1.7348445384840732,3.743366443590578,2.441794576215937,1.312853262325567,0.11250000000000004,0.05520000000000001,0.07499999999999862,0.11499999999999932,0.12333333333333335,0.08166666666666744,cc
S055,70,male ,0.023716838786743463,0.02950021793949387,0.03612682291864965,0.02430685216067729,0.0352777143571707,0.01583483178917362,1792.7256659122645,635.0828114723978,3410.020539083872,1660.4309705358899,2751.6247104370323,,1958.6584724736733,807.3594116899202,3.3512215971614703,2.2672580777465665,2.8495718392014373,2.360664763505364,2.1994671622352167,1.1368809266791409,0.10050000000000026,0.05749999999999985,0.11374999999999867,0.08199999999999914,0.11384615384615428,0.11714285714285667,cc
S004,71,female ,0.02266301406252591,0.02236584786855393,0.030619276638857326,0.01892020099166769,0.04061598656695995,0.01739198575973491,3338.0565618547494,550.0912298063848,5330.876346900004,3102.4152444312813,3314.621369132226,,1507.1885393910293,696.2027518534194,3.841832044342692,2.2010047973749947,4.950367261637966,3.7126330987963874,3.8905387535529035,1.693403138244808,0.07821428571428624,0.04975609756097511,0.07214285714285712,0.06875000000000009,0.12666666666666712,0.09571428571428456,cc
S028,59,male ,0.04311969239734914,0.039278808493094175,0.02179884860698067,0.01619363735688149,0.04527450848331584,0.02560759129522694,1809.014343401492,592.9290990047635,2994.909557012971,1377.1092193677514,2098.503304311919,,3283.458443650059,959.1616035571301,3.743197589414311,2.1920972582253486,3.654131218114432,2.5486542903630065,2.4112839901537297,1.8928164487331725,0.11923076923076928,0.062380952380951836,0.115000000000002,0.07333333333333296,0.10000000000000042,0.08999999999999868,cc
S013,57,male ,0.013503092145953131,0.01027102481535902,0.06777116550393356,0.02319627082068632,0.036387569457797635,0.02582921047207165,2988.6153344007453,897.7666911487104,4163.620990779268,2559.013254922711,2134.639548369388,,1837.1959294406388,1384.244964392852,2.5574924753547856,1.0791541403021716,2.1140252493499063,5.671185877803974,2.9049191695443963,2.256860768908417,0.05333333333333353,0.04000000000000024,0.1119999999999992,0.049999999999999815,0.06999999999999917,0.08874999999999966,cc
S049,65,male ,0.023359616573902287,0.02727321042053221,0.04343230777159315,0.021660224695938986,0.033432120034161086,0.009315741577646513,1618.1246709440127,1337.9314951822948,1402.6089488610473,1275.515141701654,2790.9613403097874,,797.8307354817696,1887.6669187686207,1.9211122220778187,4.0983310385162435,,1.533637156248849,,3.8521510288364444,0.036999999999999734,0.03750000000000018,0.040000000000000036,0.05500000000000005,0.036666666666666035,0.04666666666666626,cc
S006,67,female ,,0.022958562212764155,0.01907918532659864,0.027876069367142087,0.01734215337786953,0.02463963615749465,1858.523388051276,1631.0528303578747,2170.880112111008,2257.014914061321,2135.0713225690456,,1089.799494359852,2096.514712654882,2.553696574667356,3.1190988364130763,2.8261537453270043,,2.8594522007616594,2.0917570130236847,0.03666666666666613,0.0465384615384613,0.048750000000000286,0.031428571428572034,0.03909090909090955,0.03800000000000008,cc
S064,61,female ,0.045509583009582855,0.02869133188375628,0.01678254836871851,0.013173472057679566,0.05384628347852199,0.01035485735796371,1656.1381822356448,428.99457152561655,4098.6347300859225,683.014415467341,2097.299047879392,,,685.9578042293989,5.062671177661237,3.824432133680909,6.0186749919521985,4.985887946972042,1.9006371833085551,2.1633921398597247,0.0916666666666659,0.0514285714285716,0.15000000000000124,0.10000000000000052,0.12333333333333367,0.15999999999999956,cc
